hymenolepis_diminuta	6216	wbps
ancylostoma_duodenale	51022	wbps
brugia_pahangi	6280	wbps
schistosoma_curassoni	6186	wbps
caenorhabditis_tropicalis	1561998	wbps
globodera_pallida	36090	wbps
steinernema_carpocapsae	34508	wbps
oesophagostomum_dentatum	61180	wbps
caenorhabditis_remanei	31234	wbps
angiostrongylus_costaricensis	334426	wbps
cylicostephanus_goldi	71465	wbps
syphacia_muris	451379	wbps
parascaris_equorum	6256	wbps
meloidogyne_incognita	6306	wbps
soboliphyme_baturini	241478	wbps
onchocerca_flexuosa	387005	wbps
rhizoctonia_solani_ag_8_wac10335	1287689	fungi
stereum_hirsutum_fp_91666_ss1	721885	fungi
sporisorium_reilianum	999809	fungi
rhizoctonia_solani	456999	fungi
mixia_osmundae_iam_14324	764103	fungi
colletotrichum_higginsianum	80884	fungi
gloeophyllum_trabeum_atcc_11539	670483	fungi
rhizoctonia_solani_ag_1_ia	983506	fungi
heterobasidion_irregulare_tc_32_1	747525	fungi
microbotryum_violaceum	683840	fungi
ustilago_hordei	120017	fungi
trichinella_t6	92179	wbps
trichinella_patagoniensis	990121	wbps
trichinella_papuae	268474	wbps
trichinella_t9	181606	wbps
trichinella_zimbabwensis	268475	wbps
trichinella_murrelli	144512	wbps
trichinella_nelsoni	6336	wbps
trichinella_britovi	45882	wbps
trichinella_t8	92180	wbps
pyrenophora_triticirepentis	426418	fungi
ustilaginoidea_virens	1159556	fungi
fusarium_fujikuroi	5127	fungi
phytophthora_parasitica_gca_000509465	4792	protists
